,Product_Image,Product_Name,Product_Price,Product_Buy_Link
0,https://cf.shopee.com.my/file/4592ffbd4be602bce0eea5a9761c5fde_tn, Super stretchable skinny fit jeans for woman ,RM18.50 ,https://shopee.com.my/🔥🔥🔥-Super-stretchable-skinny-fit-jeans-for-woman-🔥🔥-i.265343863.4159959274?sp_atk=548d0c92-122a-4dc8-92ff-8523bb83dc09
1,https://cf.shopee.com.my/file/ed2ba52fc62c522053a46f29824f07a3_tn,Korean Style Womens Extra Elastic Highwaist Jeans Light Blue Dark Blue  Black,RM18.08 - RM19.70,https://shopee.com.my/Korean-Style-Women’s-Extra-Elastic-Highwaist-Jeans-Light-Blue-Dark-Blue-Black-i.220427661.5657810391?sp_atk=a54757bd-7e1a-4154-acde-53add7add1d4
2,https://cf.shopee.com.my/file/88790cc946f675c36fe06949757a66fb_tn,Summer Retro Loose Wide Leg Pants Women's Korean Fashion Casual High Waist Jeans Plus Size,RM23.80 ,https://shopee.com.my/Summer-Retro-Loose-Wide-Leg-Pants-Women's-Korean-Fashion-Casual-High-Waist-Jeans-Plus-Size-i.313811878.8277143219?sp_atk=9303e239-88bb-406d-b38b-72c25e4c6ad2
3,https://cf.shopee.com.my/file/7f14aa8e2a83cd1b3c8acf5c8118581a_tn,Women's Bootcut Jeans pant For women Good quality Ready Stock Size 26-36,RM19.50 ,https://shopee.com.my/Women's-Bootcut-Jeans-pant-For-women-Good-quality-Ready-Stock-Size-26-36-i.268197831.9405978343?sp_atk=e1cda3b7-2636-405b-a82b-78ce45418389
4,https://cf.shopee.com.my/file/b061e3c94434bc9a846127cf0aca642a_tn,Jean's Palazo Female Baru Loose Wide Leg Jeans Women Waist Casual High Street Ladies Denim Palazo Pants Seluar Jean,RM18.15 - RM18.99,https://shopee.com.my/Jean's-Palazo-Female-Baru-Loose-Wide-Leg-Jeans-Women-Waist-Casual-High-Street-Ladies-Denim-Palazo-Pants-Seluar-Jean-i.268197831.5935731716?sp_atk=bbe53c09-7a5e-47e2-9ffc-0ef73f93a2cf
5,https://cf.shopee.com.my/file/66301678cb1611a2491384223e7155b5_tn,Daduhey. Wide Leg Pants Jeans Women's New Loose High Waist Drape Mopping Pants,RM25.42 - RM29.44,https://shopee.com.my/💕Daduhey.-Wide-Leg-Pants-Jeans-Women's-New-Loose-High-Waist-Drape-Mopping-Pants-i.198867193.7625696621?sp_atk=c075ad01-d215-4565-a124-d2a50111d859
6,https://cf.shopee.com.my/file/8e19d85aeacfd6ac5f75fa5ad8c82806_tn,Daduhey White Wide-Leg Jeans Women's Korean-Style Loose High-Waist Mopping Pants (Fast PosFree Belt),RM22.85 - RM28.99,https://shopee.com.my/Daduhey💕-White-Wide-Leg-Jeans-Women's-Korean-Style-Loose-High-Waist-Mopping-Pants-(Fast-Pos🚀Free-Belt)-i.198867193.4036459575?sp_atk=6b4d5e13-eeb7-4d5e-8ade-9760b2337059
7,https://cf.shopee.com.my/file/2888f87fdcdaa0c84c685895a94dd384_tn,MILULU  Wide Leg Pants Jeans Women's  Loose High Waist Drape Mopping Pants S-4xl  Seluar Perempuan Local Delivery,RM9.90 - RM27.40,https://shopee.com.my/MILULU-Wide-Leg-Pants-Jeans-Women's-Loose-High-Waist-Drape-Mopping-Pants-S-4xl-Seluar-Perempuan-Local-Delivery-i.389614842.11572828120?sp_atk=051ca43f-b8d2-4b99-b115-205c02a5f7dd
8,https://cf.shopee.com.my/file/8d68421f9b445a65293c36b41cdc8892_tn,(READY STOCK)  PLUS SIZE JAGGING DANIM SKINNY JEANS,RM28.90 ,https://shopee.com.my/(READY-STOCK)-PLUS-SIZE-JAGGING-DANIM-SKINNY-JEANS-i.19942196.5515953890?sp_atk=5a30ab77-796b-402d-9975-b9f6ecb16f20
9,https://cf.shopee.com.my/file/bbf0fb5918139f3820272f88c73ab868_tn,PNT06 PandaShop Men Slim Fit Skinny Denim Jeans,RM16.49 - RM23.19,https://shopee.com.my/PNT06-PandaShop-Men-Slim-Fit-Skinny-Denim-Jeans-i.4636052.8234277959?sp_atk=9428362b-08ce-4f41-bd29-b5c7e3c0d7c8
